lambani,hindi
बाप बाजार गोच,पापा बाजार गए।
या खानों कार्रीच,माँ खाना बना रही है।
चाचबर रामरैच,बच्चे खेल रहे हैं।
तड़कों गण जापा च,गर्मी बहुत ज्यादा है।
मन पानी चानू,मुझे पानी चाहिए।
ई बुक गण अच्छों च,यह बुक बहुत अच्छी है।
तू कत जा री ची,तुम कहाँ जा रहे हो?
मन संगीत अच्छों लागच,मुझे संगीत पसंद है।
सड़क गण लांब च,सड़क बहुत लंबी है।
गाड़ी दौड़ जा री च,गाड़ी तेज चल रही है।
शिक्षक कक्षा माय ओद्सारोच,शिक्षक कक्षा में पढ़ा रहे हैं।
मा अब सोयेन जांचू,मैं अब सोने जा रहा हूँ।
हम सवार यात्रान जारे चा,हम कल यात्रा पर जाएंगे।
मन राममेर गण इष्टा वच,मुझे खेलना बहुत पसंद है।
सूर्य चमक रोच,सूरज चमक रहा है।
नदी गण आला च,नदी बहुत गहरी है।
काय तू चा पीछी का,क्या तुम चाय पीना चाहोगे?
मन ओदेरो गण इष्टा लागच,मुझे पढ़ना अच्छा लगता है।
वो भर्ती होशियार कुंडा च,वह बहुत होशियार लड़का है।
तार ध्वनि गण सुरीली च,तुम्हारी आवाज़ बहुत सुरीली है।
वाल ठंड चल रीच,हवा ठंडी चल रही है।
सिब्बी कुर्सी पर बेटीच,बिल्ली कुर्सी पर बैठी है।
पेड़ हरा भरा च,पेड़ हरे-भरे हैं।
बाजारे माय गण भीड़ च,बाज़ार में बहुत भीड़ है।
मन आंबा कायरों इष्टा च,मुझे आम खाना पसंद है।
ये शहर गण सुंदर च,यह शहर बहुत सुंदर है।
तू कन्न वापस आच्छी,तुम कब वापस आओगे?
म परीक्षार तैयारी करनू,मुझे परीक्षा की तैयारी करनी है।
चाचबर स्कूल जा रे च,बच्चे स्कूल जा रहे हैं।
तार घड़ी  कतरा बजे का च,तुम्हारी घड़ी कितने बजे की है?
तम घन अच्छों गांवों चो,तुम बहुत अच्छा गाते हो।
हाथी जंगल माय घूम रीच,हाथी जंगल में घूम रहा है।
ये फिल्म घन अच्छों च,यह फिल्म बहुत अच्छा है।
बिजली चमक रीच,बिजली चमक रही है।
मा दाड़ी पार्बती जल्दी उठूचु,मैं रोज सुबह जल्दी उठता हूँ।
ये दुकान गण महंगा च,यह दुकान बहुत महंगी है।
पानी गण ठंड च,पानी बहुत ठंडा है।
रात माय तारे चमक च,रात में तारे चमकते हैं।
काय तू खबर सुनी,क्या तुमने खबर सुनी?
वाडी मा फूल छूट मलीच,बगीचे में फूल खिले हैं।
चालकोड़ी गीद बोलरीच,चिड़िया गा रही है।
मन्न साथ चाणो,मुझे मदद की जरूरत है।
हम आटा शुरू करा?,हम खेल शुरू करें?
सागर भारी मोटो छा,समुद्र बहुत बड़ा है।
तोन् जल्दी आयन वच का?,क्या तुम जल्दी आ सकते हो?
आज मसद पाणी पड़ी,आज बहुत बारिश हुई।
मन्न तार वाते मसद आच लागि,मुझे तुम्हारी बात पसंद आई।
हम से बरोबरया हाव,हम सब दोस्त हैं।
तार घर मसद आच छा,तुम्हारा घर बहुत सुंदर है।
ओधेरों मुख्य हाव,पढ़ाई ज़रूरी है।
मां तोन इष्ठा कर्रोचू,मैं तुम्हें पसंद करता हूँ।
तु कना आयो,तुम कब आए?
ई मार सपनो हाव,यह मेरा सपना है।
तार हासाणी मसद आच छा,तुम्हारी हंसी बहुत प्यारी है।
ई मसद बिगी काम हाव,यह बहुत कठिन काम है।
आजेर दाड़ो मसद आच छा,आज का दिन अच्छा है।
मा चूलो कर्रोचू,मैं खाना बना रहा हूँ।
तू नष्टा कीदो का,क्या तुमने नाश्ता किया?
वाटे पर ट्रैफिक मसद छा,सड़क पर ट्रैफिक ज्यादा है।
मा नोवो फ़ोन लीदो,मैंने नया फोन खरीदा।
मन्न भूक लाग रीच,मुझे भूख लगी है।
मार सहाया कर,मेरी मदद करो।
तोन मार वाते मालाम विका,क्या तुम मेरी बात समझे?
सोवर मार जन्मदिन हाव,कल मेरा जन्मदिन है।
ई मार भाई हाव,यह मेरा भाई है।
बालक रो रोच,बच्चा रो रहा है।
तु कई कर रोची,तुम क्या कर रहे हो?
ई मसद हुळी काम हाव,यह बहुत आसान है।
आज दीथवार हाव,आज रविवार है।
तार ढाल मसद आच छा,तुम्हारी आवाज़ बहुत अच्छी है।
मन्न फ़िल्म इष्टा,मुझे फिल्में पसंद हैं।
ई कुणस रंग हाव,यह कौन सा रंग है?
चा ताथो छा,चाय गरम है।
मार कन्न वगत छेनी,मेरे पास समय नहीं है।
तू एन दीटोची?,क्या तुमने यह देखा?
तू कथरावाळा रेची,तुम कब तक रहोगे?
ई तार सामान हाव,यह तुम्हारा सामान है?
मां मार किताब ओद्रोचू,मैं अपनी किताब पढ़ रहा हूँ।
तू ख़ुश छी का,क्या तुम खुश हो?
ई घर मसद मोटो छा,यह घर बहुत बड़ा है।
तू माती रीस कर मालिची का?,क्या तुम मुझसे नाराज हो?
ई मसद आच छा,यह बहुत स्वादिष्ट है।
तार सोच आच छा,तुम्हारी सोच अच्छी है।
तोन गाडी मारेन आच का,क्या तुम गाड़ी चला सकते हो?
मन्न पाणी इष्टा,मुझे बारिश पसंद है।
तोन कई चाणो,तुम्हें किस चीज़ की ज़रूरत है?
तु कत रेची,तुम कहाँ रहते हो?
मन्न आछो लागो,मुझे अच्छा लगा।
ई मसद रोचक वात हाव,यह बहुत रोचक विषय है।
तु कूण हाव,तुम कौन हो?
मन्न मालाम वी कोनी,मुझे समझ नहीं आया।
समय मसद जल्दी जारीच,समय बहुत तेज़ी से निकल रहा है।
मन्न गीद बोलेन आछो लागच,मुझे गाने का शौक है।
सपनो सास्सी वच,सपने पूरे होते हैं।
तोन कथरा मालम छा,तुम कितना जानते हो?
ई साध्य छैया,यह असंभव है।
मन्न एक साकी का,मुझे एक कहानी सुनाओ।
हम सोवार भळा कच,हम कल मिलेंगे।
तु मात जगत haav,तुम मेरी दुनिया हो।
यात्रा मसद आच वेति,यात्रा अच्छी रही।
प्रधान मंत्री बैठक कीदो,प्रधानमंत्री ने बैठक की।
सरकार योजना कीदिच,सरकार ने योजना बनाई।
दफेदार काम शुरू कीदेच,पुलिस ने जांच शुरू।
चुनावण परिणाम आयी,चुनाव परिणाम घोषित हुए।
आर्थिका परिस्थिति मा आच छा,अर्थव्यवस्था में सुधार आया।
मौसम विभागेवल जतामलेच,मौसम विभाग ने चेतावनी दी।
शिक्षा नीती जारी किदे,शिक्षा नीति लागू हुई।
अपराधा जस्थी वेगिच,अपराध दर बढ़ गई।
क्रिकेट आटा मसद आच वेती,क्रिकेट मैच रोमांचक रहा।
सरकार वाल नोवो कानून कीदेच,सरकार ने नया कानून।
वाटे पर अपाघते मा मार्गो,सड़क दुर्घटना में मौत।
व्यापारा मा मसद नुक्सान वेगिच,व्यापार में भारी नुकसान।
कृषि उत्पादन मसद छा,कृषि उत्पादन बढ़ा है।
शेयर बाज़ारेम नुक्सान वेगिच,शेयर बाजार में गिरावट।
नोवो योजना शुरू वेम्लिच,नई परियोजना शुरू हुई।
विज्ञानानी अविष्कार कीदेच,वैज्ञानिकों ने खोज की।
mousam ताथो वेगिच,मौसम गर्म हो गया।
स्कूलमा अवकाशा छा,स्कूलों में अवकाश घोषित।
विद्यार्थी न मसद अंकुला छा,छात्रों को नई सुविधा।
इंटरनेट मसद चाणो,इंटरनेट सेवा बाधित हुई।
आटा योजने सफल वेगि,खेल आयोजन सफल रहा।
यातायात सुधार वेगि,यातायात में सुधार हुआ।
परीक्षा परिमाण घोषित वेगि,परीक्षा परिणाम घोषित हुए।
नेता भाषण दिने,नेता ने भाषण दिया।
नमस्ते,नमस्ते
सुप्रभात,सुप्रभात
शुभ संज्ञा,शुभ संध्या
शुभ रात्रि,शुभ रात्रि
तमाड़ दाड शुभ वेद,आपका दिन शुभ हो
तम कै छो?,आप कैसे हैं?
मा ठीक चू,मैं ठीक हूँ।
धन्यवाद,धन्यवाद
कृपया मार मदद करो,कृपया मेरी मदद करें।
बलन खुशी वेगी,मिलकर खुशी हुई।
ये गण अच्छों च,यह बहुत अच्छा है।
ये मार परिवार हाव,यह मेरा परिवार है।
मार याडि-बाप गण अच्छों च,मेरे माता-पिता बहुत अच्छे हैं।
मार दो भाई च,मेरे दो भाई हैं।
मन एक बाई च,मेरी एक बहन है।
दादा दादी गण प्यार कर च,दादा-दादी बहुत प्यार करते हैं।
मार बेटा स्कूल जाव च,मेरा बेटा स्कूल जाता है।
मार बेटी ओद्री च,मेरी बेटी पढ़ाई करती है।
हम से साथ रेमा च,हम सब साथ रहते हैं।
ये मार घर हाव,यह मेरा घर है।
मा मार परिवार प्यार कारू चू,मैं अपने परिवार से प्यार करता हूँ।
ये गण महंगा च,यह बहुत महँगा है।
मा परबाति जल्दी उटु चू,मैं सुबह जल्दी उठता हूँ।
मा रोज़ अंगोली कारू  चू,मैं रोज़ नहाता हूँ।
मा स्कूल जांचू,मैं स्कूल जाता हूँ।
मा खानों खाँचू,मैं खाना खाता हूँ।
मा काम करूचू,मैं काम करता हूँ।
मार नाम सीता हाव,मेरा नाम सीता है।
मा किताब ओदुचू,मैं किताब पढ़ता हूँ।
मा टीवी देकुचू,मैं टीवी देखता हूँ।
मा रात जल्दी सो जांचू,मैं रात को जल्दी सो जाता हूँ।
मन संगीत सांबलेरो इष्टा,मुझे संगीत सुनना पसंद है।
तार नाम काय?,तुम्हारा नाम क्या है।
सूरज चमक रोच,सूरज चमक रहा है।
आज बारिश आ रोच,आज बारिश हो रही है।
आसमान नीला च,आसमान नीला है।
फूल गण सुंदर च,फूल बहुत सुंदर हैं।
पेड़ हरा च,पेड़ हरे हैं।
पक्षी गा रेच,पक्षी गा रहे हैं।
नदी माय पानी साफ च,नदी में पानी साफ है।
वाल ठंडी च,हवा ठंडी है।
चांद गण सुंदर दिस रोच,चाँद बहुत सुंदर दिख रहा है।
पहाड़ ऊंचों रच,पहाड़ ऊँचे होते हैं।
मन यात्रा करना पसंद च,मुझे यात्रा करना पसंद है।
मन खुशी हो रीच,मुझे खुशी हो रही है।
मा गण बेजार चू,मैं बहुत दुखी हूँ।
मा रिस चू,मैं गुस्सा हूँ।
मन डर लग रोच,मुझे डर लग रहा है।
मा उत्साहित चू,मैं उत्साहित हूँ।
मा शांत चू,मैं शांत हूँ।
मन भूख लग रीच,मुझे भूख लगी है।
मन प्यास लग रीच,मुझे प्यास लगी है।
मा थक गोछू,मैं थक गया हूँ।
मन नींद आ रीच,मुझे नींद आ रही है।
मा भारत से चू,मैं भारत से हूँ।
मा धासरो चू,मैं दौड़ रहा हूँ।
वो रम रोच,वह खेल रहा है।
हम गारे च,हम गा रहे हैं।
वो नाच रेच,वे नाच रहे हैं।
तु ओद्रो ची,तुम पढ़ रहे हो।
मा लिख रोचू,मैं लिख रहा हूँ।
वो खानों बना रीच,वह खाना बना रही है।
बच्चा रो रोच,बच्चा रो रहा है।
कुतरा भौंक रोच,कुत्ता भौंक रहा है।
गाड़ी तेज़ चल रीच,गाड़ी तेज़ चल रही है।
मार नाम राम हाव,मेरा नाम राम है।
काय तू मन सांबलेन वे रीच?,क्या तुम मुझे सुन सकते हो?
"हा, मन सांबल रोच","हाँ, मैं सुन सकता हूँ।"
तोन काय चानू?,तुम्हें क्या चाहिए?
मन पानी चानू,मुझे पानी चाहिए।
ये काय हाव?,यह क्या है?
ये एक किताब हाव,यह एक किताब है।
तू कत जा रोची,तुम कहाँ जा रहे हो?
मा बाज़ार जा रोचू,मैं बाज़ार जा रहा हूँ।
काय तू मदद करेची?,क्या तुम मदद कर सकते हो?
"हा, ज़रूर ","हाँ, ज़रूर"
काय ई ताजा हन्नू का?,क्या यह ताजा फल हैं?
मन एक किलो टमाटर चानू,मुझे एक किलो टमाटर चाहिए।
एरा काय दाम हाव,इसका क्या दाम है?
काय तम दासेक कम करे चाय?,क्या आप थोड़ा कम कर सकते हैं?
मन ई अच्छों लगी,मुझे यह पसंद आया।
काय तमार कन ताजा दूध च?,क्या आपके पास ताजे दूध हैं?
मन दो दर्जन अंडा चानू,मुझे दो दर्जन अंडे चाहिए।
काय में एन छिपे चाय का?,क्या मैं इसे छू सकता हूँ?
काय तम क्रेडिट कार्ड ओप्पलोचो का?,क्या आप क्रेडिट कार्ड स्वीकार करते हैं?
"कृपया दौड़ करो,मन देर हो रीच","कृपया जल्दी कीजिए, मुझे देर हो रही है।"
ट्रैन कतरा गंटान आच?,ट्रेन कितने बजे आएगी?
म एयरपोर्ट जांचू,मुझे हवाई अड्डे जाना है।
ई सीट खाली छा का?,क्या यह सीट खाली है?
मन्न ई पते पर जानो,मुझे इस पते पर जाना है।
आतेति बस मलाचका,क्या यहाँ से बस मिलेगी?
टिकट कत मलाच,टिकट कहाँ से मिलेगा?
गाडी कतरा घंटान आच,गाड़ी कितनी देर में पहुंचेगी?
तम मन्न वाट दिसॉलोचो का,क्या आप मुझे रास्ता बता सकते हैं?
मन्न होटल म एक कमरा चाणो,मुझे होटल में एक कमरा चाहिए।
अत आच रेस्टोरूम छा का,क्या यहाँ कोई अच्छा रेस्तरां है?
आजेर मीटिंग कतरा घंटान छा,आज की मीटिंग कितने बजे है?
म ई रिपोर्ट कारणों,मुझे यह रिपोर्ट तैयार करनी है।
तम मार साहया करोचो का,क्या आप मेरी मदद कर सकते हैं?
म ई ईमेलेर जवाब देणो,मुझे इस ईमेल का जवाब देना है।
मन्न एयर बग्गे विश् थिल्स,कृपया मुझे समय पर जानकारी दें।
काय आप इत दस्तावेज़ चेक करोचो ,क्या आप यह दस्तावेज़ चेक कर सकते हैं?
म आज वगत करन आचू,मैं आज थोड़ी देर से आऊँगा।
ई प्रोजेक्ट कन्ना वच,यह प्रोजेक्ट कब पूरा होगा?
मन्न ई विषय पर अज्जी मलामवेनो,मुझे इस विषय पर और जानकारी चाहिए।
तम एन प्रिंट करोचो,क्या आप इसे प्रिंट कर सकते हैं?
पंखा ओलानाक,पंखा बंद कर दो।
टीवीर शब्दा कम कर,टीवी की आवाज़ कम करो।
ई पाणीर गिलास लेजो,कृपया पानी का गिलास ले आओ।
लाइट ऑफ कर,लाइट बंद कर दो।
सरानो सम्मोर कर,बिस्तर ठीक कर दो।
बाक़ल घालो का,क्या तुमने दरवाज़ा बंद किया?
खाणो ताथो कर,खाना गरम कर दो।
आज कई कीदिची,आज क्या बनाया है?
मन्न आराम चाणो,मुझे थोड़ा आराम करने दो।
सफायी कर,कृपया सफाई कर दो।
आज स्कूलेम कई ओदाए,आज स्कूल में क्या पढ़ाया गया?
म होमवर्क करणों,मुझे अपना होमवर्क करना है।
किताब छा का,क्या तुमने किताबें रख लीं?
टीचर कई असाइनमेंट दीनी,टीचर ने क्या असाइनमेंट दिया है?
म परिक्षेन ओदलेनो,मुझे परीक्षा की तैयारी करनी है।
तू नोट्स लक्मेलोची,क्या तुमने नोट्स लिखे?
म मैथ्स होमवर्क लेकनो,मुझे मैथ्स का होमवर्क करना है।
क्लासेम कुणस टॉपिक ओदाए,क्लास में कौन सा टॉपिक पढ़ाया गया?
मन तार पेन चाणो,कृपया मुझे अपना पेन दो।
म बाजार जा रोचू,मैं बाजार जा रहा हूँ
आज भर्ती ठंडी सा,आज बहुत ठंड है
चाय वेगीच,चाय तैयार हो गई
घर साफ करनू,घर साफ़ करना है
परभाती जल्दी उटनू,सुबह जल्दी उठना है
मन लत्त धोनू,मुझे कपड़े धोने हैं
वो शालीन जारीच,वह स्कूल जा रही है
बेबेट होमवर्क कररेच,बच्चे होमवर्क कर रहे हैं
फोन चार्ज करनू,मोबाइल चार्ज करना है
म टीवी देखनू,मैं टीवी देख रहा हूँ
किसान खेत दरगे,किसान खेत में गया
बीज बोन एर समय,बीज बोने का समय
पानी का अवश्य,पानी की बहुत ज़रूरत
आज फसल काटनू,आज फसल काटनी है
गाय न चार दो,गाय को चारा दो
ट्रैक्टर चलना सीखालो,ट्रैक्टर चलाना सीखो
वातावरण आंच छैया,मौसम खराब हो गया
मक्का तैयार वेगीचे,मक्का तैयार हो गया
खाद गैलरो ज़रूरी च,खाद डालना ज़रूरी है
सिंचाई करना बाकी वेगीच,सिंचाई करनी बाकी है
ताव अमलीच मन्ना,मुझे बुखार आ गया
टैबलेट अच्छा टाइम पे ल,दवा समय पर लेना
डॉक्टर एन दीसलनू ,डॉक्टर को दिखाना है
मातो दुखरीच,सिर दर्द हो रहा है
नींद वेरीकोन्ती,नींद पूरी नहीं हुई
हॉस्पिटल कत स,अस्पताल कहाँ पर है?
पानी पी आज,पानी ज़्यादा पियो आज
मास्क गालेन भूल मत,मास्क लगाना मत भूलो
सब्जी कम तेल एर,सब्ज़ी कम तेल वाली
रक्तचाप नापनू दाढ़ी ,रक्तचाप नापना है रोज़
वो छात्रावास म रच,वह छात्रावास में रहता
परीक्षा न ओदल,परीक्षा की तैयारी करो
स्कूल कन्न ओपन वच,स्कूल कब खुलेंगे फिर?
गणित मन इष्ट वच,गणित मेरा पसंदीदा विषय
शिक्षक आंच स,शिक्षक बहुत अच्छे हैं
किताब लाइब्रेरी से ला,किताबें लाइब्रेरी से लाओ
होमवर्क कीदो का,होमवर्क जमा किया क्या?
नव्वो पाठ शिकारेचा,नया पाठ पढ़ाया गया
परीक्षा आ,परीक्षा का समय आ गया
क्वेश्चंस का आंसर द,सवालों के जवाब लिखो
फोन का नेटवर्क छैया,मोबाइल में नेटवर्क नहीं
लैपटॉप स्टार्ट वेरीकोन्ती,लैपटॉप चालू नहीं हो रहा
वाईफाई कनेक्ट वेरीकोन्ती,वाईफाई कनेक्ट नहीं हो रहा
इंटरनेट सेलो वेजीच,इंटरनेट बहुत धीमा चल रहा
पासवर्ड भूल मालीचू,पासवर्ड भूल गया हूँ
नई ऐप डाउनलोड करनू,नया ऐप डाउनलोड करो
फोन चार्ज वेरीकोन्ती,फोन चार्ज नहीं हो रहा
टेक्नोलॉजी से जीवन हाल वेगीच,टेक्नोलॉजी से जीवन आसान
कंप्यूटर से प्रिंट खाड,कंप्यूटर से प्रिंट निकलो
मन कोडिंग इष्ट स,मुझे कोडिंग पसंद है
म भर्ती खुश चू,मैं बहुत खुश हूँ
वोन रीस आम पड़ी,उसे गुस्सा आ गया
आज बेजार महसूस हो रोच,आज उदास महसूस हो रहा
डर लागरीच,डर लग रहा है
खुशीर कोई ठिकाना चेनी,खुशी का कोई ठिकाना नहीं
वो बेजार कसेन च,वह नाराज़ क्यों है?
चिंता मत कर यार,चिंता मत करो यार
दिल टूट गीछ,दिल टूट गया है
भरोसा करेरा कष्ट च,भरोसा करना मुश्किल है
आशा अभी बाकी च,आशा अभी भी बाकी
दवाली म दिया जलानू,दिवाली पर दिया जलाएं
होली रंग का हब्बा,होली रंगों का त्योहार
रक्षाबंधन भाई बहने र ,रक्षाबंधन भाई बहन का
गणेश पूजा भारती शुभ,गणेश पूजा बहुत शुभ
ईद एर मिठाई वेट,ईद की मिठाई बाँटो
नवरात्रि म गरबा करा,नवरात्रि में गरबा करें
दशहरा र मेला देखो ,दशहरा का मेला देखो
दिया जलान घर चमकाओ,दीपक सजाकर घर चमकाओ
मंदिर म दर्शन करा सब,मंदिर में दर्शन करें सब
लोकनृत्य भारती सुंदर रच,लोकनृत्य बहुत सुंदर होते
बस स्टेशन कत च,बस स्टेशन कहाँ है?
ट्रेन छूटगी काय को,ट्रेन छूट गई शायद
हवाईजहाज समय पर च,हवाईजहाज़ समय पर है
माँ ताड़ेन जारीच,मैं गाँव जा रहा
रास्ता भर्ती खराब च,रास्ता बहुत खराब है
होटल अभी बुक नहीं,होटल अभी बुक नहीं
टैक्सी ह़कार जल्दी,टैक्सी बुलाओ जल्दी से
टिकट ऑनलाइन बुक कर लो,टिकट ऑनलाइन बुक कर लो
बैग रेडी च मार,बैग तैयार है मेरा
हिंदरू आरामदायक वेत्ती आज,सफर आरामदायक था आज
पेड़ भर्ती घन च,पेड़ बहुत घने हैं
पानी पड़ रीच,बारिश हो रही है
